1	Because I want to protect those around me and I believe in vaccines and science.	0.4452884	0.5547116
2	Energy level changes due to heart condition.	0.44298548	0.55701447
3	Was seen rapidly and then had open heart surgery for repair 6 days later.	0.44570845	0.55429155
4	By my brother, directed to myself (the caregiver)	0.45445833	0.5455417
5	Not attending social functions (baby shower and birthday parties) and believing it was intentional. We did not and still do not attend any social functions, particularly involving children because kids don't social distance themselves, not should they be asked to. So it felt unfair to attend these events when my kids would have a difficult time not playing at a distance with their cousins.	0.42348424	0.5765158
6	Impacted our relationship and while it may repair over time, we haven't spoken about it since and the level of awkwardness is palpable. Made me feel like I was overreacting when all I'm trying to do is protect my family and others.	0.44613016	0.55386984
7	Self	0.45533237	0.5446677
8	All maternal appointments over the phone.	0.44291788	0.5570821
9	In general, check-ins can be done remotely and that is fantastic. I think this can only improve care.	0.43499312	0.5650069
10	Jul-18	0.4447114	0.55528855
11	Tetralogy of Fallot	0.4064946	0.59350544
12	04-Jun	0.42154863	0.5784514
13	Port Moody	0.4500211	0.5499789
14	Ability to work from home therefore financially not impacted.	0.43428844	0.5657115
15	3	0.46396357	0.53603643
16	10	0.43816435	0.56183565
17	Follow ups, quick phone appointments ranging from counseling, nurse practitioner, pediatrician, and cardiologist.	0.4007915	0.5992085
18	$20	0.42148992	0.5785101
19	Fortunately no as I work from home.	0.4340076	0.56599236
20	Fortunately no as I work from home.	0.44266286	0.5573371
21	Not having to drive or look for childcare	0.44266286	0.5573371
22	All Dr’s visits were on the phone or video call. 	0.42907435	0.57092565
23	Our medical clinic fully closed for 2-3 months.  	0.43952647	0.56047356
24	I am unsure. 	0.44459856	0.5554014
25	Headache, heart pounding, nausea, fatigue, dizziness, lack of appetite, discolouration/spiderwebbing of extremities	0.43718633	0.5628137
26	Nightmares	0.44572434	0.55427563
27	Was acknowledged as all other symptoms are each week. 	0.40104732	0.5989527
28	Most comments are simple “that sucks, hope it gets better” to paraphrase. Not many suggestions on how to improve since most symptoms already have method of improvement in place. 	0.43288994	0.5671101
29	Classmates in school and strangers I have no association with other than in passing. 	0.4214052	0.5785948
30	Sceptical remarks about symptoms of Dysautonomia and claiming it was Covid. 	0.449495	0.55050504
31	Just not a nice experience. It further alienated me from my classmates because now I wasn’t just the girl with “issues” they kept insinuating I had Covid. 	0.4350761	0.5649239
32	Having weekly checkups made me feel looked after and that someone was consistently invested in my well being Dysautonomia wise. 	0.41605407	0.58394593
33	Sometimes it’s difficult to remember symptoms from early on in the week so was difficult to respond. 	0.43641928	0.5635808
34	It’s a useful platform and I believe it should be continued. 	0.4313664	0.5686336
35	The same method is good. Weekly check in text messages. Maybe a phone call each month just for an overview. Sometimes it’s easier to speak about something than write it. 	0.417464	0.58253604
36	Do one monthly phone call check in. 	0.4253559	0.574644
37	Dec-03	0.48216572	0.51783425
38	Dysautonomia, Post Infectious Viral Inflammation of the Brain	0.42649984	0.57350016
39	1 or 2 per year	0.44257677	0.5574232
40	Vancouver Island 	0.4559171	0.5440829
41	Father is no longer at previous job due to travel conflictions, now working day job to keep family afloat. 	0.41579387	0.58420616
42	1	0.43311197	0.566888
43	Had expected more than the one in person consult. 	0.45895812	0.54104185
44	Including ferry ride $300, not having to pay for ferry means personal expenses are $60	0.46687984	0.53312016
45	From school and work for dad 	0.43395796	0.566042
46	School because usually scheduled early afternoon. 	0.39000264	0.60999733
47	Didn’t have to pay for gas, spend as much time doing trip etc.	0.4535077	0.5464923
48	The above does not include the need to be at the hospital for weekly treatments.	0.43327013	0.56672984
49	It is important to speak and see for therapies.	0.46966705	0.5303329
50	The newness of the vaccine and unknown long term effects make me nervous. However, this will not stop me from being rather safe than sorry.	0.43193275	0.56806725
51	We had an appointment for follow up care and it went well.	0.44273606	0.557264
52	It can be time saving when in person care is not necessary.	0.44850528	0.55149466
53	I don't remember well the specific time we used WelTel but I believe it was perfectly fine.	0.44878072	0.5512193
54	Aug-17	0.4451594	0.55484056
55	Pompe	0.4104942	0.58950573
56	Maybe a dozen, not including weekly infusions	0.41740274	0.5825973
57	Vancouver	0.42719957	0.57280046
58	Reduced working hours	0.42038608	0.579614
59	A lot, maybe around 60	0.41878256	0.58121747
60	Weekly taxi is about $30-$35 per round trip. Occasional Evo is about $14 per round trip.	0.41168386	0.58831614
61	No, patient is too young for work or school. Parent is stay at home caregiver.	0.42473966	0.5752604
62	Same as above	0.45109394	0.548906
63	Cost of transportation.	0.4377492	0.56225073
64	Sick child would not get the vaccine, but the rest of the family most likely would	0.4566093	0.5433907
65	women are more likely to stay home because of kids, money  stress	0.4274155	0.57258457
66	Not having to go all the way to Vancouver 	0.4296455	0.57035446
67	Before the appointment we asked asked if we should have any tests done and was told that no tests needed to be done but then in the appointment Doctor didn't know how the kid was doing or what was going on. Complete waste of time. Dr gave advice but advice was unless but she didn't actually know how kid was doing. Not the same level of care didn't know whether kid was doing better or worse 	0.4284317	0.5715683
68	Did not feel like we got the same level of care. 	0.44043687	0.55956316
69	If he was tested at Children's and then gave the results over the phone that would be fine but no testing was done. 	0.45228904	0.54771096
70	Dec-04	0.4423704	0.5576296
71	Dysautonomia 	0.43970346	0.56029654
72	5	0.420671	0.579329
73	Smithers (Northern BC)	0.42902672	0.5709733
74	Sick kid so not working because don't want to work with the public so, devastated with COVID	0.44293946	0.55706054
75	02-Mar	0.39485607	0.6051439
76	1	0.43002918	0.5699708
77	Over $500	0.45895812	0.54104185
78	Husband had to take time off work to watch other children.	0.44433546	0.5556645
79	No	0.44249183	0.5575082
80	Either husband has to take time off work or parents have to come from Alberta which is a huge financial strain to watch children or would have to bring all children to hospital.  Husband has docked pay for not working.  	0.45247585	0.54752415
81	My son is followed very closely for heart failure so he’s still had to see his team for echo and ecg. 	0.44579178	0.5542082
82	To protect my immune compromised son. 	0.4057947	0.59420526
83	Being able to stay connected and have less contact during the height of the pandemic. 	0.4628647	0.53713524
84	Hard with a toddler but not the fault of the system. 	0.45211	0.54789007
85	For non emergent appointments 	0.44368303	0.556317
86	Oct-16	0.45835257	0.54164743
87	Barth Syndrome 	0.40431127	0.59568876
88	Between 6-12	0.48047948	0.5195205
89	Vancouver island 	0.42764065	0.5723593
90	More than I can count, my son has many specialists we work with. 	0.40740505	0.5925949
91	$200	0.4389554	0.5610446
92	Sometimes, it depends on if we go as a whole family or just my affected son and I. 	0.42672375	0.5732762
93	No 	0.4383479	0.56165206
94	imessage	0.45247582	0.54752415
95	very grateful for virtual part	0.44005892	0.55994105
96	We went to heart clinic, imaging and admitted for surgery 	0.4129507	0.5870493
97	I'm not an anti vaccxer but am just not sure about this one. Up to getting it in the years to come but just not right now. I feel that with the survival rate with efficacy rate just not worth it but I'm not against vaccines at at, I love vaccines. 	0.42732078	0.5726793
98	That I was able to chat directly to the cardiologist to go over my sons results and ask questions right then and there.	0.4325221	0.56747794
99	that I had to wait 2 weeks for the appointment after the tests were done. 	0.43563294	0.564367
100	Would recommend it over not having anything at all. 	0.46532896	0.53467107
101	No, I like being able to get the results right away instead of waiting two weeks for them. 	0.4651711	0.53482896
102	I'm just so grateful for children's hospital 	0.44226056	0.5577394
103	Sep-82	0.41687945	0.5831206
104	Bicuspid aortic valve with a repair to a sub-aortic stenosis with lifelong monitoring 	0.42085597	0.579144
105	2+	0.44795734	0.5520427
106	Langley	0.43683895	0.56316113
107	Super grateful 	0.43391544	0.56608456
108	1	0.41765225	0.5823477
109	Only interacted with them more because my child ended up needing surgery again	0.45895812	0.54104185
110	$0, electric car and parking is free now	0.4369634	0.5630366
111	Technically yes, I am a stay at home mom but had to get a babysitter and I homeschool them so they had to take time off of school. 	0.42332962	0.5766704
112	No	0.44880614	0.5511939
113	My in-person appointment would have been done as I had to do the tests anyway. 	0.45247582	0.54752415
114	She accessed appointments virtually, however still had surgery during the pandemic. 	0.4596972	0.5403028
115	We would have felt that it was important enough to travel for appointments as it was heart surgery. Something more minor may have been postponed. 	0.45222795	0.5477721
116	Surgery at BC Children’s. 	0.4600224	0.53997767
117	I am immune compromised and believe in vaccinations to help slow or eliminate the curve of COVID. 	0.4102485	0.58975154
118	People are struggling, I don’t feel like anything is personal at this point. We had no contact with COVID at all. 	0.46404293	0.53595704
119	From my research, women tend to be hit harder with the virus. (More at risk) Also, statistically, more women work in public positions. (Healthcare, grocery stores and education) 	0.47547388	0.5245261
120	We only used it to communicate appointments, it worked well. 	0.43792787	0.56207216
121	It was efficient. 	0.44135812	0.5586418
